"Search Location","Name","Ratings","Best Services","Remarks","Shop Address","Website","Phone"
"Elmhurst, New York 11373","The FIX - Queens Center","4.8 (1100)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Elmhurst, NY","N/A","(646) 818-1168"
"Elmhurst, New York 11373","uBreakiFix - Phone and Computer Repair","4.8 (511)","[Screen Repair, Battery Replacement, Diagnostic Service]","Repeat Business","Elmhurst, IL","N/A","(630) 501-0193"
"League City, Texas 77573","CPR Cell Phone Repair","5 (879)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Turnaround","League City, TX","N/A","(281) 878-9474"
"League City, Texas 77573","The Fix - Phone Repair, Tablet Repair and Accessories in Walmart League City","5 (758)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","League City, TX","N/A","(281) 678-8130"
"League City, Texas 77573","CellPhone Repair Shop – Fast & Affordable","4.9 (667)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Webster, TX","N/A","(346) 644-5044"
"League City, Texas 77573","Edge Phone and Computer Repair","4.9 (835)","[Screen Repair, Cracked Screen, Fast Repair]","Fast Service","Friendswood, TX","N/A","(832) 788-3215"
"League City, Texas 77573","The Fix in Baybrook Mall (Food Court)","4.9 (746)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Friendswood, TX","N/A","(281) 506-6473"
"Pacoima, California 91331","Best Buy","4.3 (3600)","[Mobile Check-In, Order Pickup, In-Store Availability]","Efficient Service","Pacoima, CA","N/A","(818) 686-1839"
"Fontana, California 92335","CompuCell / Fox PC Custom Gaming PC Builder + Computer Laptop PC Apple MacBook iPhone iPad Repair","4.9 (1800)","[Screen Repair, PC Building, Apple Repair]","Fast Service","Fontana, CA","N/A","(909) 365-3677"
"Fontana, California 92335","Cellphone Repair","4.8 (1500)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Rialto, CA","N/A","(909) 875-9185"
"Fontana, California 92335","iRepair Wireless","4.7 (938)","[Screen Repair, Battery Replacement, Diagnostic Services]","Fair Price","Rialto, CA","N/A","(909) 258-3021"
"Fontana, California 92335","iFx4u","4.6 (541)","[Screen Repair, iPhone Repair, Smartphone Repair]","Fast Service","Fontana, CA","N/A","(909) 829-1288"
"Fontana, California 92335","Repair iT","4.5 (327)","[Screen Repair, iPhone Repair, Fast Repairs]","Fast Service","Fontana, CA","N/A","(909) 977-4003"
"Grand Prairie, Texas 75052","D.C Cell Phone Repair","5 (1900)","[Screen Repair, Fast Repairs, Phone Restoration]","Fast Service","Arlington, TX","N/A","(469) 286-6782"
"Grand Prairie, Texas 75052","The Fix","4.9 (579)","[Charging Port Repair, Screen Repair, Battery Replacement]","Fast Service","Grand Prairie, TX","N/A","(908) 906-1596"
"Grand Prairie, Texas 75052","GWIRELESS REPAIRS","4.9 (609)","[Screen Repair, Phone Repair, Glass Replacement]","Reliable Service","Grand Prairie, TX","N/A","(972) 352-5333"
"Grand Prairie, Texas 75052","Innova Phone & Tech Celulares y electrónicos a pagos y reparaciones. Cellphone, computer, PlayStation repair and sales.","4.9 (330)","[Screen Repair, Battery Replacement, PlayStation Repair]","Trustworthy Service","Grand Prairie, TX","N/A","(972) 483-4879"
"Grand Prairie, Texas 75052","Cell Repair Pro and Boost Mobile","4.9 (467)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Fix","Arlington, TX","N/A","(682) 309-3022"
"Bronx, New York 10467","EZFIX Bronx","4.8 (1400)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Mall at Bay Plaza, 200 Baychester Ave","N/A","(718) 320-3800"
"Bronx, New York 10467","Izzy's Wireless Phone Repair","4.4 (378)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","3003 Westchester Ave","N/A","(718) 483-8726"
"Cypress, Texas 77429","Techy Cypress","5 (2200)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Turnaround","Cypress, TX","N/A","(682) 704-6424"
"Cypress, Texas 77429","Tech Repair Cypress - iPhones Repair / Android Phones Repair & Computer Repair - Tablets Repair (inside HEB) FREE ESTIMATES","5 (437)","[Screen Repair, Battery Replacement, Computer Repair]","Fast Service","Cypress, TX","N/A","(346) 337-2343"
"Cypress, Texas 77429","Tech Repair Fairfield - iPhones Repair / Android Phones Repair & Computer - Tablets Repairs - (INSIDE HEB) FREE ESTIMATES","5 (2100)","[Screen Repair, Battery Replacement, Water Damage]","Highly Recommended","Cypress, TX","N/A","(281) 758-5899"
"Cypress, Texas 77429","Tech Savvy Cell Phone & Computer Repair - Barker Cypress (OUTSIDE HEB)","4.9 (2300)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Cypress, TX","N/A","(281) 256-7443"
"Cypress, Texas 77429","Fix Zone - Cell Phone & Computer Fix","4.8 (623)","[Screen Repair, Back Glass Repair, Same-Day Service]","Fast Service","Cypress, TX","N/A","(346) 424-8465"
"San Antonio, Texas 78245","Cell Center","5 (833)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Antonio, TX","N/A","(210) 748-3387"
"San Antonio, Texas 78245","CELLAIRIS | #1 Quality Phone Repair In San Antonio.","5 (1500)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Antonio, TX","N/A","(210) 573-7919"
"San Antonio, Texas 78245","Phone Fixers","4.9 (1500)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","San Antonio, TX","N/A","(210) 272-0471"
"San Antonio, Texas 78245","The Fix - Phone Repair, Tablet Repair and Accessories in Walmart San Antonio","4.9 (1100)","[Screen Repair, Battery Replacement, Phone Fixing]","Best Value","San Antonio, TX","N/A","(210) 518-5569"
"San Antonio, Texas 78245","Cell Care PhoneRepairs | Best Phone Repair Store in San Antonio, TX, USA","4.9 (658)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Fix","San Antonio, TX","N/A","(210) 383-7415"
"Brooklyn, New York 11226","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11226","Express Connection Repair Services","5 (1800)","[Screen Repair, Phone Repair, Cracked Screen]","Fast Service","Brooklyn, NY","N/A","(718) 340-8080"
"Brooklyn, New York 11226","Fix.ME","4.8 (315)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Brooklyn, NY","N/A","(347) 277-2633"
"Brooklyn, New York 11226","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11226","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Los Angeles, California 90044","Sunset iPhone Screen Repair Los Angeles","5 (1000)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","West Hollywood, CA","N/A","(310) 855-2665"
"Los Angeles, California 90044","CPR Cell Phone Repair","5 (2100)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quality Repairs","3476 Whittier Blvd Ste 109","N/A","(323) 354-4050"
"Los Angeles, California 90044","Mobile City CHEAPEST PHONE REPAIR","4.9 (460)","[Screen Repair, Battery Replacement, Fast Repair]","Quick Fix","1612 W Washington Blvd","N/A","(323) 284-4844"
"Los Angeles, California 90044","Never 2 Much Wireless","4.9 (320)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","4700 Crenshaw Blvd","N/A","(323) 293-9698"
"Los Angeles, California 90044","CL Cellular","4.9 (385)","[Screen Repair, Battery Replacement, Phone Unlocking]","Fast Service","6125 S Broadway","N/A","(323) 393-9917"
"Brooklyn, New York 11219","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11219","Fast Fix Mobile inc.","4.9 (348)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","Brooklyn, NY","N/A","(718) 207-1935"
"Brooklyn, New York 11219","uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Brooklyn, NY","N/A","(929) 998-0200"
"Brooklyn, New York 11219","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11219","iFixScreens 5th Ave Brooklyn","4.7 (1200)","[Screen Repair, Battery Replacement, Phone Repair]","Reliable Service","Brooklyn, NY","N/A","(929) 337-6052"
"Staten Island, New York 10314","CPR Cell Phone Repair","5 (925)","[Screen Repair, Battery Replacement, Quick Repair]","Fast Service","Staten Island, NY","N/A","(929) 529-5020"
"Staten Island, New York 10314","Stop N' Fix It","4.9 (360)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Staten Island, NY","N/A","(929) 877-9881"
"Staten Island, New York 10314","ZAGG Staten Island","4.9 (823)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","Staten Island, NY","N/A","(631) 923-7159"
"Staten Island, New York 10314","Mr. Appliance of Staten Island","4.8 (448)","[Refrigerator Repair, Washer Repair, Dryer Repair]","Efficient Service","N/A","N/A","(718) 612-7546"
"Staten Island, New York 10314","iFixScreens Victory Blvd","4.7 (889)","[Screen Repair, Phone Repair, Quick Fixes]","Fast Service","Staten Island, NY","N/A","(718) 981-8080"
"Hawthorne, California 90250","CPR Cell Phone Repair","5 (829)","[Screen Repair, Back Glass Repair, Phone Refurbishing]","Quality Repairs","Lawndale, CA","N/A","(310) 709-8586"
"Hawthorne, California 90250","The Fix in Westfield Culver City","4.9 (962)","[Back Glass Repair, iPhone Repair, Mobile Phone Repair]","Gentle Repair","Culver City, CA","N/A","(424) 508-3621"
"Queen Creek, Arizona 85142","iFixandRepair - San Tan Valley","5 (895)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","San Tan Valley, AZ","N/A","(602) 486-3300"
