"Name","Ratings","Best Services","Remarks","Location","Website","Phone"
"iRepair Wireless","4.7 (938)","[Screen Repair, Battery Replacement, Diagnostic Services]","Fair & Reliable","Rialto, CA","N/A","(909) 258-3021"
"MOBILE PHONE REPAIR CENTER","4.9 (105)","[Screen Repair, Battery Replacement, Quick Repairs]","Fast & Reliable","Brooklyn, NY","N/A","(929) 392-8241"
"J&YElectronics - Brooklyn Mobile Phone Repair Store","4.8 (116)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Brooklyn, NY","N/A","(347) 295-4027"
"Pitkin Phone fix & print","4.8 (24)","[Screen Repair, Battery Replacement, Phone Cases]","Fast & Reliable","Brooklyn, NY","N/A","(718) 277-2871"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"David Quick Repair","5 (494)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","Brooklyn, NY","N/A","(917) 717-3851"
"CELL DEPOT","4.4 (202)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Fair & Reliable","Antioch, TN","N/A","(615) 707-5954"
"Tennessee Wireless One Stop","5 (256)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","Nashville, TN","N/A","(615) 719-4104"
"twireless","5 (380)","[Screen Repair, Battery Replacement, Fast Repair]","Lightning Fast Service","Nashville, TN","N/A","(615) 609-3975"
"iPhone Doctor - Nashville iPhone & Samsung Repair","4.5 (253)","[Screen Repair, Samsung Repair, iPhone Repair]","Fast, Reliable Fixes","Nashville, TN","N/A","(615) 877-7777"
"Total Wireless","4.8 (32)","[Screen Repair, iPhone Repair, Cell Phone Repair]","Fast, Reliable Service","Antioch, TN","N/A","(615) 891-1257"
"CPR Cell Phone Repair","4.8 (535)","[Screen Repair, Battery Replacement, Phone Restoration]","Fast & Reliable","New Braunfels, TX","N/A","(830) 214-0581"
"Mobile Phone Repair","4.9 (210)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","New Braunfels, TX","N/A","(512) 808-3969"
"uBreakiFix - Phone and Computer Repair","4.5 (685)","[Screen Repair, iPhone Repair, Phone Repair]","Fast, Reliable Service","New Braunfels, TX","N/A","(830) 627-4207"
"Cellairis (#1 Certified Phone Repairs in Walmart New braunfels) iPhone, IPad, Tablets, Laptops, PC and Gaming Consoles","4.9 (1500)","[Screen Repair, Battery Replacement, iPhone Repair]","Unbeatable Price & Fast","New Braunfels, TX","N/A","(210) 573-1877"
"Mobile Phone Geeks","4.5 (248)","[Charging Port Repair, Screen Repair, Battery Replacement]","Fast, Reliable Service","New Braunfels, TX","N/A","(830) 620-4335"
"Cell Phone Repair","4.2 (274)","[Screen Repair, Battery Replacement, Quick Repair]","Fast & Affordable","El Paso, TX","N/A","(915) 787-9448"
"Cell Phone Repair, Screen Repair - Premier Wireless - Zaragosa","4.1 (592)","[Screen Repair, Cell Phone Repair, Fast Repair]","Fast & Reliable","El Paso, TX","N/A","(915) 345-1330"
"Cell Phone Repair, Screen Repair - Premier Wireless - Tierra Este","4.3 (246)","[Screen Repair, Phone Repair, Fast Repair]","Fast, Reliable Service","El Paso, TX","N/A","(915) 444-8422"
"Cell phone repair ,Samsung IPhone El Paso","4.7 (364)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quick, Reliable Repairs","El Paso, TX","N/A","(915) 228-1351"
"uBreakiFix - Phone and Computer Repair","4.7 (816)","[Screen Repair, Battery Replacement, Phone Repair]","Fast & Reliable","El Paso, TX","N/A","(915) 304-0739"
"Phone Repair","4.6 (209)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","Ridgewood, NY","N/A","(718) 386-2120"
"Fast Fix Phones LLC","4.9 (460)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Ridgewood, NY","N/A","(860) 840-0239"
"Phone Repair","4.9 (36)","[Basic Troubleshooting, Screen Repair, Battery Replacement]","Helpful, Quick Service","Ridgewood, NY","N/A","(347) 221-8641"
"CPR Cell Phone Repair","4.9 (129)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","Ridgewood, NY","N/A","(347) 384-2703"
"icanfixit","5 (317)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Glendale, NY","N/A","(347) 500-6666"
"Cellairis cellphone Phone Store Inside Walmart - Lawrenceville","4.9 (1300)","[Screen Repair, Phone Repair, Accessory Sales]","Fast & Reliable","Lawrenceville, GA","N/A","(470) 776-7665"
"uBreakiFix - Phone and Computer Repair","4.8 (1700)","[iPhone Repair, Screen Repair, Mobile Repair]","Fast & Convenient","Lawrenceville, GA","N/A","(770) 261-8569"
"Fix Phone Wireless inc BoostMobile Authorized. Phone Repair","4.8 (157)","[Screen Repair, Phone Repair, Boost Mobile Services]","Fast & Reliable","Lawrenceville, GA","N/A","(678) 226-1126"
"Cellgeon - Your Electronic Surgeon's","5 (316)","[Screen Repair, Battery Replacement, Fast Repairs]","Speedy & Reliable","Lawrenceville, GA","N/A","(470) 435-2660"
"Steven's Pro Phone Repair","4.7 (45)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast & Reliable","Lawrenceville, GA","N/A","(470) 550-9791"
"iTech Repair Solutions","4.8 (448)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","Winter Garden, FL","N/A","(407) 347-7894"
"Cell Care Phone Repair","4.9 (163)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Winter Garden, FL","N/A","(407) 347-7838"
"uBreakiFix - Phone and Computer Repair","4.9 (1400)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Service","Windermere, FL","N/A","(407) 777-4410"
"uBreakiFix - Phone and Computer Repair","4.8 (1600)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Ocoee, FL","N/A","(321) 270-0600"
"Techy Ocoee: Phone Repair Service Inside Ocoee Walmart","4.9 (415)","[Screen Repair, Battery Replacement, Diagnostic Repair]","Reliable, Expert Fixes","Ocoee, FL","N/A","(407) 448-7515"
"Phone / Computer / Game Console Repair - QuickFix","4.8 (496)","[Screen Repair, Battery Replacement, Game Console Repair]","Fast, Reliable Service","Pittsburg, CA","N/A","(925) 436-3083"
"GeoWireless, LLC Phone & Tablet Repair Service","4.9 (252)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Reliable","Pittsburg, CA","N/A","(925) 301-3161"
"Touchdown Cellphones Repair","4.9 (74)","[Screen Repair, Battery Replacement, Phone Sales]","Great Value Deals","Pittsburg, CA","N/A","(925) 439-7894"
"Top Phone Repair & Laila Boutique - Cell Phone Repair & Screen Replacements","5 (186)","[Screen Repair, Battery Replacement, Phone Unlocking]","Fast & Reliable","Antioch, CA","N/A","(925) 219-4302"
"HJ TechFix Phone/Computer/PS5 HDMI Repairs","4.9 (155)","[Screen Repair, HDMI Repair, Phone Repair]","Fast, Reliable Service","Pittsburg, CA","N/A","(925) 421-4523"
"Mobile City CHEAPEST PHONE REPAIR","4.9 (460)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast & Affordable","1612 W Washington Blvd","N/A","(323) 284-4844"
"Cellphone Repair & Boost Mobile Payment","4.9 (164)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","2512 San Pedro St","N/A","(213) 745-4040"
"Fix & Flip Phone","4.9 (51)","[Screen Repair, Fast Repairs, Phone Troubleshooting]","Fast & Friendly","1916 San Pedro St","N/A","(213) 512-5512"
"LA iPhone Repair","4.8 (513)","[Screen Repair, Battery Replacement, Diagnostic Service]","Reliable, Repeat Business","2522 S Figueroa St","N/A","(213) 741-1000"
"Unlimited Wireless Repair","4.8 (34)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast, Affordable Service","4105 S Central Ave","N/A","(323) 325-7773"
"cell phone repair Norwalk Dr Phone Plaza","4.8 (278)","[Screen Repair, Back Glass Repair, iPhone Repair]","Fast, Reliable Fixes","14000 Pioneer Blvd","N/A","(949) 742-5055"
"Iphone Repair Norwalk","4.5 (247)","[Screen Repair, iPhone Repair, LCD Repair]","Fast, Reliable Service","11904 Firestone Blvd","N/A","(562) 219-7817"
"Cellfix Wireless Norwalk","4.8 (75)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Norwalk, CT","N/A","(203) 676-0006"
"ESM Cellphone, iPhone & Macbook Repair","4.5 (125)","[Screen Repair, iPhone Repair, Macbook Repair]","Reliable, Quick Fixes","Santa Fe Springs, CA","N/A","(562) 688-5438"
"Cheapest iPhone Repair","4.4 (196)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast, Affordable Repairs","Cerritos, CA","N/A","(562) 888-0338"
"Techy ( Inside HEB Plus! )","4.9 (45)","[Screen Repair, Battery Replacement, Diagnostic Services]","Quick & Reliable","Leander, TX","N/A","(737) 255-2150"
"Batteries Plus Phone Repair","5 (2)","[Screen Repair, Battery Replacement, Phone Repair]","Quick, Reliable Service","Leander, TX","N/A","N/A"
"The Cracked Apple of Austin","5 (25)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Trusted, Reliable Repairs","N/A","N/A","(512) 708-0410"
"Cell Phone Repair","4.2 (274)","[Screen Repair, Battery Replacement, Quick Repair]","Fast & Affordable","El Paso, TX","N/A","(915) 787-9448"
"Cell Phone Repair, Screen Repair - Premier Wireless - Tierra Este","4.3 (246)","[Screen Repair, Phone Repair, Fast Repair]","Fast, Reliable Service","El Paso, TX","N/A","(915) 444-8422"
"Cell Phone Repair, Screen Repair - Premier Wireless - Zaragosa","4.1 (592)","[Screen Repair, Cell Phone Repair, Fast Repair]","Fast & Reliable","El Paso, TX","N/A","(915) 345-1330"
"Smartphone Solutions - Phone Repair El Paso","4.9 (1000)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast, Reliable Repairs","El Paso, TX","N/A","(915) 219-8440"
"Cell phone repair ,Samsung IPhone El Paso","4.7 (364)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quick, Reliable Repairs","El Paso, TX","N/A","(915) 228-1351"
"Flash Fix Inc Cellphone Repair & Computer Repair","4.9 (254)","[Charging Port Repair, iPhone Repair, Computer Repair]","Quick & Reliable","Elmhurst, NY","N/A","(718) 504-9661"
"The FIX - Queens Center","4.8 (1100)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast, Reliable Service","Elmhurst, NY","N/A","(646) 818-1168"
"Phone repair & more","5 (11)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quick & Reliable","Elmhurst, NY","N/A","(347) 990-0156"
"BOSS PHONE REPAIRS 4","5 (14)","[Screen Repair, Battery Replacement, Charging Port Repair]","Quick, Reliable Fixes","Elmhurst, NY","N/A","(929) 639-6155"
"HYRATECH Cellphone & Computer Repair","4.1 (67)","[Screen Repair, Battery Replacement, Diagnostic Services]","Fast, Reliable Repairs","Elmhurst, NY","N/A","(718) 898-9180"
"CPR Cell Phone Repair","5 (879)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","League City, TX","N/A","(281) 878-9474"
"The Fix - Phone Repair, Tablet Repair and Accessories in Walmart League City","5 (758)","[Screen Repair, Battery Replacement, Water Damage]","Fast & Reliable","League City, TX","N/A","(281) 678-8130"
"uBreakiFix - Phone and Computer Repair","4.5 (725)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","League City, TX","N/A","(281) 967-7671"
"CellPhone Repair Shop – Fast & Affordable","4.9 (667)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Affordable Service","Webster, TX","N/A","(346) 644-5044"
"uBreakiFix - Phone and Computer Repair","4.8 (975)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","Webster, TX","N/A","(281) 724-9711"
"CELL PHONE AND COMPUTER REPAIR","5 (234)","[Screen Repair, Battery Replacement, Fast Diagnostics]","Speedy, Reliable Fixes","Pacoima, CA","N/A","(818) 747-1453"
"Los Angeles Phone Freaks","4.6 (124)","[Screen Repair, Battery Replacement, House Calls]","Fast & Convenient","Sylmar, CA","N/A","(747) 207-0924"
"Cellphone Repair Center","3.1 (22)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Pacoima, CA","N/A","(818) 903-1489"
"wirelesscenter multiservices","4.4 (8)","[Screen Repair, OLED Repair, Port Repair]","Expert Tech Repair","Pacoima, CA","N/A","(818) 396-2277"
"Panda Mobile","5 (1)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Pacoima, CA","N/A","(818) 818-9812"
"Phone Tech","4.7 (253)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast, Reliable Service","Fontana, CA","N/A","(909) 642-3036"
"iFx4u","4.6 (541)","[iPhone Screen Repair, Phone Repair, Smartphone Repair]","Quick, Reliable Fixes","Fontana, CA","N/A","(909) 829-1288"
"Cellphone Repair","4.8 (1500)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Rialto, CA","N/A","(909) 875-9185"
"Repair iT","4.5 (327)","[Screen Repair, iPhone Repair, Fast Repairs]","Fast, Reliable Service","Fontana, CA","N/A","(909) 977-4003"
"A&J PhoneFix","4.7 (29)","[Screen Repair, Battery Replacement, Phone Restoration]","Premium Quality Repairs","Fontana, CA","N/A","(909) 471-3616"
"The Fix","4.9 (579)","[Charging Port Repair, Screen Repair, Battery Replacement]","Lightning Fast Repairs","Grand Prairie, TX","N/A","(908) 906-1596"
"uBreakiFix - Phone and Computer Repair","4.7 (1100)","[Screen Repair, Battery Replacement, Charging Port Repair]","Fast, Friendly Service","Grand Prairie, TX","N/A","(469) 660-1555"
"Celltech | Cell Phone Repair Grand Prairie TX","4.8 (396)","[Screen Repair, Cracked Screen, Fast Repair]","Fast & Reliable","Grand Prairie, TX","N/A","(469) 286-2572"
"GWIRELESS REPAIRS","4.9 (609)","[Screen Repair, Phone Repair, Glass Replacement]","Like New Again","Grand Prairie, TX","N/A","(972) 352-5333"
"Cellphone repairs","4.9 (136)","[Screen Repair, Phone Unlock, Quick Fixes]","Fast & Reliable","Grand Prairie, TX","N/A","(469) 716-9408"
"Ytech phone & computer repair 2","4.5 (102)","[Screen Repair, Phone Repair, Diagnostic Service]","Fast & Reliable","3092 White Plains Rd","N/A","(347) 280-8855"
"TIKITAKA WIRELESS & CELLPHONES REPAIR","4.9 (39)","[Screen Repair, Battery Replacement, Parts in Stock]","Fast & Reliable","305 E 204th St","N/A","(718) 684-2519"
"RepairRama.com","4.5 (92)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","4372 White Plains Rd","N/A","(917) 207-2264"
"EZFIX Bronx","4.8 (1400)","[Screen Repair, iPhone Repair, Fast Repair]","Fast & Reliable","Mall at Bay Plaza, 200 Baychester Ave","N/A","(718) 320-3800"
"Sam Repair Wireless","4.6 (284)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast & Reliable","78 Westchester Square","N/A","(929) 777-9130"
"Tech Savvy Cell Phone & Computer Repair - Barker Cypress (OUTSIDE HEB)","4.9 (2300)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Fair","Cypress, TX","N/A","(281) 256-7443"
"Techy Cypress","5 (2200)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast & Reliable","Cypress, TX","N/A","(682) 704-6424"
"Tech Repair Cypress - iPhones Repair / Android Phones Repair & Computer Repair - Tablets Repair (inside HEB) FREE ESTIMATES","5 (437)","[Screen Repair, Phone Repair, Computer Repair]","Fast & Reliable","Cypress, TX","N/A","(346) 337-2343"
"Fix Zone - Cell Phone & Computer Fix","4.8 (623)","[Screen Repair, Back Glass Repair, iPhone Repair]","Fast, Same-Day Service","Cypress, TX","N/A","(346) 424-8465"
"uBreakiFix - Phone and Computer Repair","4.7 (1100)","[Screen Repair, Battery Replacement, Phone Restoration]","Reliable, Quick Fixes","Cypress, TX","N/A","(281) 758-1317"
"Phone Fixers","4.9 (1500)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","San Antonio, TX","N/A","(210) 272-0471"
"CPR Cell Phone Repair","4.8 (854)","[Screen Repair, Battery Replacement, Phone Restoration]","Fast, Reliable Repairs","San Antonio, TX","N/A","(210) 600-4154"
"The Fix - Phone Repair, Tablet Repair and Accessories in Walmart San Antonio","4.9 (1100)","[Screen Repair, Battery Replacement, Phone Fixing]","Best Value Repair","San Antonio, TX","N/A","(210) 518-5569"
"Cell Care PhoneRepairs | Best Phone Repair Store in San Antonio, TX, USA","4.9 (658)","[Screen Repair, Battery Replacement, Water Damage]","Fast & Reliable","San Antonio, TX","N/A","(210) 383-7415"
"RepairLab Phone Repair ( We come to You)","5 (1)","[Screen Repair, Battery Replacement, Water Damage]","Convenient Mobile Service","N/A","N/A","(210) 789-2250"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"American Wireless NYC","4.8 (256)","[Screen Repair, Battery Replacement, Fast Repairs]","Premium Quality Repairs","Brooklyn, NY","N/A","(929) 430-8302"
"Nyc Sunny Phone Fix","4.8 (87)","[Screen Repair, iPhone Repair, Fast Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 240-6093"
"mobile repair shop inc","5 (46)","[Screen Repair, LCD Replacement, iPhone Repair]","Fast, Reliable Service","Brooklyn, NY","N/A","(718) 207-0088"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"Mobile City CHEAPEST PHONE REPAIR","4.9 (460)","[Screen Repair, Battery Replacement, Fast Repair]","Quick & Reliable","1612 W Washington Blvd","N/A","(323) 284-4844"
"Repairs R US LLC","4.6 (71)","[Screen Repair, Battery Replacement, Quick Diagnostics]","Fast & Reliable","9603 S Vermont Ave","N/A","(323) 792-1254"
"Sunset iPhone Screen Repair Los Angeles","5 (1000)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast, Reliable Service","West Hollywood, CA","N/A","(310) 855-2665"
"Never 2 Much Wireless","4.9 (320)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","4700 Crenshaw Blvd","N/A","(323) 293-9698"
"Cell City","4 (93)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Service","9301 S Vermont Ave","N/A","(323) 755-1191"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"NY iPhone Repairs","4.9 (279)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast, Reliable Service","Brooklyn, NY","N/A","(718) 677-4343"
"Yoni Electronics","4.7 (140)","[Screen Repair, Water Damage, Logic Board Repair]","Expert, Reliable Repairs","Brooklyn, NY","N/A","(718) 305-5860"
"PHONE WORLD | Phone Repair | Passport Photo | Unlocked Phones | Money Transfer","4.9 (59)","[Screen Repair, Phone Unlock, Money Transfer]","Fast & Professional","Brooklyn, NY","N/A","(929) 207-2700"
"Mobile Evolution cellphone repair and accesories","4.8 (134)","[Screen Repair, Battery Replacement, Fast Repairs]","Speedy, Reliable Service","Brooklyn, NY","N/A","(718) 675-0278"
"Stop N' Fix It","4.9 (360)","[Screen Repair, iPhone Repair, Fast Repair]","Fast & Affordable","Staten Island, NY","N/A","(929) 877-9881"
"Smart Fix","4.9 (75)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Affordable","Staten Island, NY","N/A","(212) 518-6291"
"iFixScreens Victory Blvd","4.7 (889)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast & Reliable","Staten Island, NY","N/A","(718) 981-8080"
"iPhone and laptop screen repair Staten Island","4.5 (50)","[Screen Repair, iPhone Repair, Laptop Repair]","Fast, Reliable Service","Staten Island, NY","N/A","(646) 770-0773"
"CPR Cell Phone Repair","5 (925)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Staten Island, NY","N/A","(929) 529-5020"
"Fast Cellular","3.8 (203)","[Screen Repair, iPhone Repair, Cell Phone Repair]","Affordable, Quick Fixes","Hawthorne, CA","N/A","(310) 844-4494"
